Format Version,1.21,Take Name,point2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 01.49.06.258 PM,Total Frames in Take,3812,Total Exported Frames,3812,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
0,0.000000,-24.722284,-59.746037,-33.447285,1.849070,0.451630,0.329982,0.000305
1,0.008333,-24.731720,-59.758385,-33.451523,1.849070,0.451625,0.329977,0.000316
2,0.016667,-24.726368,-59.748554,-33.441746,1.849079,0.451631,0.329982,0.000305
3,0.025000,-24.738964,-59.749954,-33.453228,1.849061,0.451623,0.329988,0.000301
4,0.033333,-24.721685,-59.753242,-33.443733,1.849063,0.451625,0.330005,0.000302
5,0.041667,-24.697609,-59.761658,-33.426495,1.849070,0.451617,0.329995,0.000283
6,0.050000,-24.740843,-59.729897,-33.469456,1.849077,0.451610,0.329968,0.000274
7,0.058333,-24.776564,-59.725300,-33.506977,1.849078,0.451616,0.329964,0.000301
8,0.066667,-24.729748,-59.750584,-33.471745,1.849080,0.451636,0.329969,0.000301
9,0.075000,-24.726709,-59.752182,-33.462730,1.849077,0.451631,0.329978,0.000303
10,0.083333,-24.735609,-59.750801,-33.466305,1.849083,0.451615,0.330000,0.000303
11,0.091667,-24.757790,-59.724560,-33.487247,1.849095,0.451593,0.329989,0.000292
