Format Version,1.21,Take Name,point5,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 02.04.23.220 PM,Total Frames in Take,4982,Total Exported Frames,4982,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
60,0.500000,-140.948914,69.120171,130.905228,-1.007720,0.462350,-0.519020,0.000299
61,0.508333,-140.973938,69.119370,130.932434,-1.007703,0.462351,-0.519035,0.000289
62,0.516667,-140.961472,69.112175,130.913803,-1.007703,0.462357,-0.519029,0.000308
63,0.525000,-140.957870,69.121742,130.897629,-1.007690,0.462342,-0.519014,0.000297
64,0.533333,-140.966873,69.117668,130.900818,-1.007692,0.462348,-0.519007,0.000305
65,0.541667,-140.963852,69.116928,130.913940,-1.007686,0.462331,-0.519004,0.000296
66,0.550000,-140.990631,69.106934,130.939270,-1.007703,0.462325,-0.519012,0.000284
67,0.558333,-140.928558,69.104286,130.875916,-1.007711,0.462318,-0.519006,0.000294
68,0.566667,-140.991379,69.082283,130.972565,-1.007680,0.462278,-0.518972,0.000331
69,0.575000,-140.949509,69.094292,130.891953,-1.007723,0.462321,-0.519015,0.000283
70,0.583333,-140.970230,69.116142,130.924774,-1.007718,0.462332,-0.519026,0.000290
71,0.591667,-140.957520,69.103981,130.913757,-1.007712,0.462353,-0.519012,0.000296
72,0.600000,-140.961121,69.115097,130.922974,-1.007707,0.462379,-0.519014,0.000311
73,0.608333,-140.983948,69.111137,130.945694,-1.007711,0.462380,-0.519027,0.000301
74,0.616667,-140.945541,69.114098,130.904358,-1.007711,0.462370,-0.519025,0.000307
75,0.625000,-140.950043,69.114464,130.898056,-1.007708,0.462349,-0.519023,0.000293
76,0.633333,-140.951065,69.110619,130.886459,-1.007711,0.462311,-0.519014,0.000296
77,0.641667,-140.984818,69.113869,130.937607,-1.007710,0.462314,-0.519021,0.000292
78,0.650000,-140.974503,69.118629,130.921021,-1.007721,0.462309,-0.519014,0.000278
79,0.658333,-140.961166,69.115326,130.915955,-1.007714,0.462299,-0.519003,0.000281
80,0.666667,-140.959000,69.118835,130.908691,-1.007718,0.462328,-0.518999,0.000290
81,0.675000,-140.970825,69.118149,130.916428,-1.007712,0.462349,-0.519017,0.000302
82,0.683333,-140.962021,69.113106,130.935837,-1.007705,0.462371,-0.519032,0.000293
83,0.691667,-140.968246,69.101204,130.941269,-1.007703,0.462384,-0.519011,0.000304
84,0.700000,-140.945679,69.110840,130.922119,-1.007718,0.462377,-0.519026,0.000308
85,0.708333,-140.938705,69.097198,130.911057,-1.007715,0.462379,-0.519036,0.000301
86,0.716667,-140.906158,69.093307,130.856277,-1.007725,0.462361,-0.519020,0.000309
87,0.725000,-140.936630,69.098427,130.875504,-1.007723,0.462330,-0.519021,0.000296
88,0.733333,-140.965561,69.109825,130.913834,-1.007739,0.462330,-0.519018,0.000288
89,0.741667,-140.918045,69.091286,130.857147,-1.007721,0.462330,-0.519018,0.000295
90,0.750000,-140.977005,69.114395,130.934235,-1.007702,0.462339,-0.519016,0.000286
91,0.758333,-140.974670,69.129761,130.925537,-1.007695,0.462343,-0.519004,0.000288
92,0.766667,-141.004974,69.113159,130.956879,-1.007697,0.462358,-0.519012,0.000291
93,0.775000,-140.987061,69.111847,130.958572,-1.007697,0.462371,-0.519013,0.000296
94,0.783333,-140.967560,69.118294,130.908051,-1.007682,0.462354,-0.519003,0.000301
95,0.791667,-140.969788,69.106972,130.918991,-1.007715,0.462365,-0.519009,0.000288
96,0.800000,-140.953766,69.109779,130.904327,-1.007719,0.462347,-0.519024,0.000283
97,0.808333,-140.961044,69.103172,130.927765,-1.007722,0.462332,-0.519040,0.000285
98,0.816667,-140.946030,69.107307,130.896042,-1.007726,0.462317,-0.519023,0.000281
99,0.825000,-140.942352,69.090828,130.888351,-1.007723,0.462324,-0.518999,0.000305
100,0.833333,-140.956589,69.112762,130.904495,-1.007720,0.462338,-0.519008,0.000290
101,0.841667,-140.937027,69.111198,130.890305,-1.007699,0.462343,-0.519008,0.000298
102,0.850000,-140.948273,69.108719,130.904953,-1.007696,0.462355,-0.519013,0.000305
103,0.858333,-140.982025,69.120659,130.937180,-1.007699,0.462362,-0.519015,0.000297
104,0.866667,-140.969894,69.107895,130.928452,-1.007700,0.462353,-0.519013,0.000296
105,0.875000,-140.975906,69.120453,130.917877,-1.007700,0.462337,-0.519020,0.000296
106,0.883333,-140.956802,69.125351,130.909409,-1.007702,0.462320,-0.519003,0.000302
107,0.891667,-140.992722,69.085197,130.963974,-1.007688,0.462308,-0.518969,0.000343
108,0.900000,-140.972916,69.119736,130.929382,-1.007731,0.462317,-0.519018,0.000297
109,0.908333,-140.941345,69.089798,130.898712,-1.007720,0.462321,-0.519017,0.000280
110,0.916667,-140.965897,69.119751,130.902023,-1.007711,0.462339,-0.519015,0.000291
111,0.925000,-140.958206,69.116272,130.906906,-1.007710,0.462355,-0.518991,0.000311
112,0.933333,-140.969269,69.120781,130.942917,-1.007716,0.462369,-0.519012,0.000304
113,0.941667,-140.966995,69.108200,130.939316,-1.007697,0.462364,-0.519004,0.000304
114,0.950000,-140.947815,69.102531,130.906494,-1.007696,0.462369,-0.519005,0.000298
115,0.958333,-140.974976,69.114838,130.922729,-1.007705,0.462355,-0.518989,0.000301
116,0.966667,-140.983307,69.132759,130.921951,-1.007720,0.462335,-0.518999,0.000293
117,0.975000,-140.957184,69.114975,130.886658,-1.007710,0.462300,-0.519005,0.000282
118,0.983333,-140.952621,69.117783,130.892715,-1.007721,0.462301,-0.519004,0.000281
119,0.991667,-140.952423,69.117989,130.885803,-1.007720,0.462311,-0.518993,0.000297
120,1.000000,-141.004318,69.118019,130.948318,-1.007704,0.462319,-0.519015,0.000301
121,1.008333,-140.961075,69.123802,130.911499,-1.007689,0.462342,-0.519009,0.000296
122,1.016667,-140.959534,69.112915,130.903412,-1.007682,0.462350,-0.519002,0.000307
123,1.025000,-140.968338,69.117691,130.922241,-1.007703,0.462361,-0.518997,0.000313
124,1.033333,-140.991455,69.131844,130.943314,-1.007702,0.462353,-0.519010,0.000306
125,1.041667,-140.953033,69.118835,130.907471,-1.007695,0.462347,-0.519010,0.000301
126,1.050000,-140.934433,69.105209,130.882935,-1.007711,0.462324,-0.519005,0.000280
127,1.058333,-140.930817,69.113602,130.874725,-1.007723,0.462312,-0.518985,0.000290
128,1.066667,-140.995422,69.129471,130.935028,-1.007729,0.462312,-0.518985,0.000276
129,1.075000,-140.952682,69.120888,130.909332,-1.007715,0.462323,-0.518985,0.000291
130,1.083333,-140.983231,69.114883,130.929108,-1.007691,0.462326,-0.518989,0.000303
131,1.091667,-140.992447,69.128860,130.939331,-1.007700,0.462335,-0.518982,0.000289
132,1.100000,-140.988571,69.118980,130.940048,-1.007703,0.462362,-0.519005,0.000304
133,1.108333,-140.978210,69.119827,130.912827,-1.007687,0.462346,-0.518995,0.000316
134,1.116667,-140.954239,69.111877,130.898483,-1.007673,0.462347,-0.518993,0.000311
135,1.125000,-140.960052,69.113174,130.897629,-1.007697,0.462334,-0.519011,0.000305
136,1.133333,-140.957809,69.114700,130.897934,-1.007714,0.462324,-0.519009,0.000309
137,1.141667,-140.976074,69.103233,130.917099,-1.007720,0.462327,-0.518999,0.000294
138,1.150000,-140.940201,69.109543,130.886444,-1.007720,0.462323,-0.518998,0.000294
139,1.158333,-140.943390,69.108238,130.891907,-1.007726,0.462337,-0.518991,0.000294
140,1.166667,-140.958527,69.109879,130.909988,-1.007721,0.462343,-0.519000,0.000300
141,1.175000,-140.961075,69.131355,130.894928,-1.007704,0.462353,-0.519005,0.000293
142,1.183333,-140.942245,69.102821,130.904633,-1.007709,0.462367,-0.518999,0.000302
143,1.191667,-140.978500,69.124969,130.924454,-1.007692,0.462358,-0.518982,0.000304
144,1.200000,-140.995758,69.120689,130.959503,-1.007688,0.462365,-0.518988,0.000296
145,1.208333,-140.975296,69.130531,130.922363,-1.007695,0.462322,-0.519009,0.000288
146,1.216667,-140.959671,69.114708,130.901917,-1.007715,0.462316,-0.519002,0.000293
147,1.225000,-140.970001,69.119637,130.909653,-1.007708,0.462299,-0.518993,0.000295
148,1.233333,-140.977783,69.112892,130.920456,-1.007726,0.462313,-0.519002,0.000295
149,1.241667,-140.942947,69.107933,130.887482,-1.007723,0.462324,-0.518996,0.000316
150,1.250000,-140.967926,69.124344,130.924744,-1.007711,0.462334,-0.518995,0.000308
151,1.258333,-140.925629,69.106041,130.880676,-1.007708,0.462362,-0.518994,0.000313
152,1.266667,-140.980576,69.117867,130.928757,-1.007705,0.462376,-0.519004,0.000296
153,1.275000,-140.925049,69.098816,130.879745,-1.007704,0.462391,-0.519020,0.000311
154,1.283333,-140.939743,69.111229,130.892426,-1.007699,0.462365,-0.519013,0.000299
155,1.291667,-140.987381,69.118462,130.938232,-1.007720,0.462346,-0.519004,0.000296
156,1.300000,-140.977890,69.114128,130.910187,-1.007723,0.462331,-0.518985,0.000297
157,1.308333,-140.974686,69.112434,130.905594,-1.007728,0.462313,-0.519000,0.000284
158,1.316667,-140.996704,69.112953,130.933594,-1.007709,0.462302,-0.519005,0.000290
159,1.325000,-140.964813,69.115044,130.900803,-1.007720,0.462301,-0.519013,0.000286
160,1.333333,-140.967682,69.098824,130.914108,-1.007725,0.462323,-0.519005,0.000290
161,1.341667,-140.967621,69.120453,130.921539,-1.007695,0.462341,-0.519009,0.000294
162,1.350000,-140.973160,69.115799,130.926941,-1.007702,0.462348,-0.519020,0.000300
163,1.358333,-141.000397,69.119995,130.958435,-1.007687,0.462369,-0.519009,0.000300
164,1.366667,-140.953094,69.103371,130.907486,-1.007719,0.462368,-0.519012,0.000302
165,1.375000,-140.974442,69.117981,130.929382,-1.007718,0.462351,-0.519012,0.000302
166,1.383333,-140.910721,69.102882,130.863770,-1.007722,0.462343,-0.519017,0.000292
167,1.391667,-140.963882,69.120323,130.903839,-1.007735,0.462330,-0.519013,0.000294
168,1.400000,-140.978653,69.108948,130.918869,-1.007734,0.462332,-0.519018,0.000280
169,1.408333,-140.954575,69.109581,130.907883,-1.007721,0.462312,-0.518999,0.000297
170,1.416667,-140.973740,69.111244,130.908020,-1.007708,0.462318,-0.519003,0.000284
171,1.425000,-140.980728,69.121811,130.927673,-1.007695,0.462342,-0.519009,0.000296
172,1.433333,-140.979767,69.125381,130.933075,-1.007691,0.462349,-0.519010,0.000301
173,1.441667,-140.979797,69.118431,130.940582,-1.007689,0.462346,-0.519021,0.000284
174,1.450000,-140.967117,69.114105,130.926010,-1.007698,0.462346,-0.519016,0.000293
175,1.458333,-140.954102,69.118095,130.895584,-1.007710,0.462336,-0.519019,0.000302
176,1.466667,-140.945007,69.101234,130.899734,-1.007720,0.462335,-0.519013,0.000293
177,1.475000,-140.976196,69.120651,130.941132,-1.007722,0.462320,-0.519009,0.000280
178,1.483333,-140.953476,69.107513,130.914627,-1.007733,0.462329,-0.519018,0.000285
179,1.491667,-140.945786,69.104568,130.900467,-1.007734,0.462328,-0.519004,0.000292
180,1.500000,-140.958405,69.106369,130.909622,-1.007721,0.462336,-0.519023,0.000300
181,1.508333,-140.963379,69.109322,130.917908,-1.007696,0.462347,-0.519012,0.000303
182,1.516667,-140.953705,69.105713,130.913055,-1.007688,0.462359,-0.519018,0.000301
183,1.525000,-140.983856,69.129601,130.936844,-1.007686,0.462351,-0.519008,0.000304
184,1.533333,-140.963531,69.121368,130.914276,-1.007704,0.462348,-0.518998,0.000319
185,1.541667,-140.959366,69.116547,130.909683,-1.007701,0.462319,-0.518991,0.000296
186,1.550000,-140.979553,69.114044,130.933594,-1.007709,0.462305,-0.519016,0.000290
187,1.558333,-140.976410,69.119514,130.920273,-1.007717,0.462293,-0.519008,0.000281
188,1.566667,-140.960190,69.118034,130.908844,-1.007714,0.462316,-0.519010,0.000284
189,1.575000,-140.956970,69.113182,130.910370,-1.007720,0.462327,-0.519016,0.000282
190,1.583333,-140.943756,69.098915,130.883667,-1.007717,0.462340,-0.518999,0.000296
191,1.591667,-140.981766,69.125877,130.928665,-1.007700,0.462365,-0.519006,0.000307
192,1.600000,-140.977844,69.120987,130.919357,-1.007690,0.462376,-0.518999,0.000306
193,1.608333,-140.954590,69.117142,130.914841,-1.007678,0.462373,-0.518993,0.000307
194,1.616667,-140.941437,69.108719,130.891968,-1.007708,0.462350,-0.519006,0.000307
195,1.625000,-140.963074,69.109543,130.892380,-1.007708,0.462332,-0.519005,0.000292
196,1.633333,-140.985107,69.083351,130.959793,-1.007671,0.462280,-0.518969,0.000347
197,1.641667,-140.987045,69.123680,130.934525,-1.007700,0.462290,-0.519007,0.000288
198,1.650000,-140.963638,69.128990,130.889618,-1.007715,0.462291,-0.519005,0.000289
199,1.658333,-140.985565,69.123367,130.930084,-1.007708,0.462303,-0.518997,0.000292
200,1.666667,-140.972595,69.119720,130.915909,-1.007701,0.462323,-0.519001,0.000299
201,1.675000,-140.967148,69.119385,130.911865,-1.007694,0.462352,-0.518995,0.000303
202,1.683333,-140.959747,69.116867,130.912109,-1.007680,0.462376,-0.519009,0.000316
203,1.691667,-140.967300,69.119415,130.917877,-1.007680,0.462364,-0.519003,0.000295
204,1.700000,-140.973633,69.113800,130.939438,-1.007704,0.462365,-0.518996,0.000287
