Format Version,1.21,Take Name,point4,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 01.59.15.530 PM,Total Frames in Take,3704,Total Exported Frames,3704,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
0,0.000000,-167.425308,48.671906,162.642761,-2.105707,0.462393,-0.025466,1.233916
1,0.008333,-167.446213,48.677750,162.661545,-2.106420,0.462896,-0.025476,1.233916
2,0.016667,-167.454315,48.680485,162.650497,-2.106036,0.462610,-0.025474,1.233916
3,0.025000,-167.417343,48.675091,162.624634,-2.105474,0.462231,-0.025466,1.233916
4,0.033333,-167.457565,48.681709,162.670990,-2.106437,0.462920,-0.025500,1.233916
5,0.041667,-167.440659,48.666954,162.654556,-2.106281,0.462832,-0.025468,1.233916
6,0.050000,-167.468338,48.685841,162.681854,-2.106415,0.462933,-0.025480,1.233916
7,0.058333,-167.429962,48.660835,162.656586,-2.106284,0.462849,-0.025492,1.233916
8,0.066667,-167.406906,48.679138,162.601929,-2.105883,0.462547,-0.025473,1.233916
9,0.075000,-167.454391,48.688995,162.653778,-2.106092,0.462690,-0.025472,1.233916
10,0.083333,-167.450607,48.677143,162.652847,-2.106424,0.462932,-0.025482,1.233916
11,0.091667,-167.425201,48.675507,162.649460,-2.105198,0.462050,-0.025463,1.233916
