Format Version,1.21,Take Name,point3,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 01.53.10.386 PM,Total Frames in Take,2394,Total Exported Frames,2394,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
0,0.000000,-139.115570,-68.120621,-155.100174,0.567737,0.458757,1.090589,0.000528
1,0.008333,-139.111938,-68.124474,-155.093643,0.567737,0.458757,1.090595,0.000538
2,0.016667,-139.157654,-68.132172,-155.139801,0.567747,0.458737,1.090600,0.000529
3,0.025000,-139.187057,-68.121910,-155.166367,0.567748,0.458714,1.090597,0.000545
4,0.033333,-139.208908,-68.145874,-155.186386,0.567744,0.458710,1.090608,0.000543
5,0.041667,-139.260559,-68.153893,-155.225647,0.567736,0.458693,1.090588,0.000530
6,0.050000,-139.224945,-68.147133,-155.196609,0.567749,0.458702,1.090585,0.000548
7,0.058333,-139.225281,-68.148613,-155.189285,0.567753,0.458709,1.090577,0.000533
8,0.066667,-139.129105,-68.131248,-155.125214,0.567748,0.458728,1.090581,0.000537
9,0.075000,-139.104721,-68.124092,-155.109161,0.567745,0.458729,1.090579,0.000516
10,0.083333,-139.107834,-68.123962,-155.099655,0.567759,0.458728,1.090584,0.000515
11,0.091667,-139.125565,-68.118660,-155.102127,0.567775,0.458718,1.090581,0.000536
