Format Version,1.21,Take Name,black4Take 2024-04-10 04.05.45 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 04.05.45.715 PM,Total Frames in Take,3092,Total Exported Frames,3092,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
61,0.508333,-172.533035,7.140343,175.444122,-1.512490,0.454177,1.298360,0.000422
62,0.516667,-172.520020,7.160716,175.325378,-1.512480,0.454151,1.298362,0.000406
63,0.525000,-172.523819,7.167668,175.312531,-1.512473,0.454139,1.298352,0.000400
64,0.533333,-172.536041,7.164890,175.298065,-1.512491,0.454157,1.298354,0.000407
65,0.541667,-172.536453,7.166798,175.309540,-1.512494,0.454163,1.298358,0.000402
66,0.550000,-172.466476,7.097839,175.377945,-1.512473,0.454074,1.298248,0.000423
67,0.558333,-172.522690,7.165783,175.288116,-1.512490,0.454165,1.298352,0.000404
68,0.566667,-172.538147,7.160086,175.316681,-1.512497,0.454162,1.298354,0.000402
69,0.575000,-172.520477,7.154366,175.315857,-1.512507,0.454156,1.298352,0.000403
70,0.583333,-172.516708,7.156700,175.311127,-1.512486,0.454133,1.298340,0.000414
71,0.591667,-172.518433,7.151674,175.329636,-1.512485,0.454126,1.298342,0.000411
72,0.600000,-172.524353,7.153400,175.333771,-1.512475,0.454133,1.298355,0.000411
73,0.608333,-172.510315,7.155089,175.325073,-1.512460,0.454109,1.298339,0.000407
74,0.616667,-172.531387,7.137794,175.427277,-1.512498,0.454191,1.298359,0.000424
75,0.625000,-172.532822,7.135886,175.444092,-1.512509,0.454191,1.298368,0.000443
76,0.633333,-172.520935,7.165198,175.322311,-1.512474,0.454143,1.298355,0.000404
77,0.641667,-172.533447,7.149192,175.306992,-1.512501,0.454151,1.298355,0.000414
78,0.650000,-172.517578,7.165698,175.294632,-1.512490,0.454160,1.298357,0.000396
79,0.658333,-172.526901,7.160110,175.314835,-1.512496,0.454150,1.298352,0.000393
80,0.666667,-172.526810,7.165086,175.292892,-1.512485,0.454147,1.298342,0.000409
81,0.675000,-172.528061,7.157803,175.321045,-1.512488,0.454152,1.298336,0.000398
