Format Version,1.21,Take Name,point1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 01.39.37.620 PM,Total Frames in Take,2121,Total Exported Frames,2121,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
0,0.000000,-8.631417,-23.755156,-12.502915,1.624583,0.448643,-1.004255,0.000194
1,0.008333,-8.636206,-23.746696,-12.491061,1.624579,0.448629,-1.004258,0.000197
2,0.016667,-8.630454,-23.752628,-12.482590,1.624586,0.448633,-1.004253,0.000195
3,0.025000,-8.629987,-23.745174,-12.484790,1.624576,0.448632,-1.004237,0.000195
4,0.033333,-8.631607,-23.750223,-12.489088,1.624573,0.448635,-1.004241,0.000185
5,0.041667,-8.622757,-23.755112,-12.491500,1.624586,0.448635,-1.004241,0.000189
6,0.050000,-8.632455,-23.745300,-12.510912,1.624579,0.448644,-1.004240,0.000192
7,0.058333,-8.631007,-23.746563,-12.500226,1.624579,0.448655,-1.004249,0.000188
8,0.066667,-8.638514,-23.759867,-12.503046,1.624588,0.448661,-1.004251,0.000191
9,0.075000,-8.627499,-23.744341,-12.508276,1.624578,0.448650,-1.004251,0.000188
10,0.083333,-8.611520,-23.754181,-12.481794,1.624592,0.448647,-1.004245,0.000196
11,0.091667,-8.631942,-23.746418,-12.496774,1.624583,0.448632,-1.004248,0.000187
