Format Version,1.21,Take Name,3blackTake 2024-04-10 03.35.10 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 03.35.10.906 PM,Total Frames in Take,1932,Total Exported Frames,1932,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
0,0.000000,-59.011238,-71.729660,-68.201492,2.207030,0.473985,1.504535,0.000476
1,0.008333,-58.996170,-71.728371,-68.148865,2.207018,0.473976,1.504535,0.000474
2,0.016667,-59.012924,-71.746323,-68.190292,2.207039,0.473984,1.504532,0.000479
3,0.025000,-58.999729,-71.728035,-68.159782,2.207044,0.473992,1.504546,0.000474
4,0.033333,-58.963318,-71.739449,-68.129013,2.207027,0.473998,1.504553,0.000471
5,0.041667,-58.993217,-71.735657,-68.152679,2.207021,0.473997,1.504544,0.000481
6,0.050000,-58.981014,-71.729889,-68.142181,2.207023,0.474002,1.504532,0.000481
7,0.058333,-59.010323,-71.740616,-68.178040,2.207028,0.474002,1.504525,0.000473
8,0.066667,-58.987865,-71.729713,-68.157021,2.207024,0.473996,1.504537,0.000466
9,0.075000,-58.994190,-71.731201,-68.172501,2.207024,0.474006,1.504531,0.000476
10,0.083333,-59.009209,-71.725685,-68.183472,2.207030,0.474012,1.504521,0.000473
