Format Version,1.21,Take Name,1blackTake 2024-04-10 03.24.49 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 03.24.49.530 PM,Total Frames in Take,2166,Total Exported Frames,2166,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
50,0.416667,-8.216943,-6.017920,-5.592334,1.296060,0.460075,-1.216717,0.000227
51,0.425000,-8.222619,-6.017508,-5.587800,1.296043,0.460088,-1.216716,0.000237
52,0.433333,-8.224212,-6.020490,-5.598293,1.296052,0.460091,-1.216707,0.000238
53,0.441667,-8.208319,-6.010640,-5.594457,1.296049,0.460086,-1.216702,0.000236
54,0.450000,-8.209442,-6.016181,-5.593792,1.296035,0.460070,-1.216698,0.000238
55,0.458333,-8.222403,-6.016398,-5.604866,1.296051,0.460064,-1.216702,0.000233
56,0.466667,-8.221257,-6.016600,-5.592006,1.296062,0.460053,-1.216704,0.000229
57,0.475000,-8.213659,-6.015895,-5.593872,1.296066,0.460053,-1.216700,0.000238
58,0.483333,-8.226133,-6.010777,-5.590065,1.296065,0.460044,-1.216703,0.000240
59,0.491667,-8.223677,-6.013712,-5.596838,1.296068,0.460051,-1.216703,0.000239
60,0.500000,-8.219076,-6.019303,-5.573746,1.296068,0.460046,-1.216699,0.000237
61,0.508333,-8.219782,-6.021658,-5.603443,1.296068,0.460062,-1.216709,0.000219
