Format Version,1.21,Take Name,2blackTake 2024-04-10 03.30.10 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 03.30.10.482 PM,Total Frames in Take,2529,Total Exported Frames,2529,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
0,0.000000,-23.317352,-43.671494,-28.552277,2.791008,0.471954,0.002379,0.000201
1,0.008333,-23.305073,-43.679131,-28.543322,2.791018,0.471970,0.002389,0.000191
2,0.016667,-23.331432,-43.665314,-28.561634,2.791013,0.471962,0.002385,0.000193
3,0.025000,-23.302288,-43.682503,-28.527550,2.791024,0.471970,0.002387,0.000192
4,0.033333,-23.314093,-43.677364,-28.544456,2.791014,0.471979,0.002392,0.000204
5,0.041667,-23.310831,-43.679836,-28.547922,2.791011,0.471988,0.002395,0.000193
6,0.050000,-23.307358,-43.677341,-28.537186,2.791008,0.471999,0.002394,0.000201
7,0.058333,-23.318371,-43.670422,-28.562981,2.791006,0.472009,0.002394,0.000199
8,0.066667,-23.308306,-43.681190,-28.545347,2.791007,0.471999,0.002405,0.000192
9,0.075000,-23.312777,-43.668404,-28.541338,2.791007,0.471984,0.002410,0.000193
10,0.083333,-23.316214,-43.672249,-28.545202,2.791011,0.471973,0.002405,0.000189
